Service,ID,Link
EKS,test-deletion-cluster,https://ap-southeast-1.console.aws.amazon.com/eks/home?region=ap-southeast-1#/clusters/test-deletion-cluster
ASG,test-deletion-asg,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#AutoScalingGroupDetails:id=test-deletion-asg;view=details
RDS,database-1-instance-1,https://ap-southeast-1.console.aws.amazon.com/rds/home?region=ap-southeast-1#database:id=database-1-instance-1;is-cluster=false
RDS,database-1-instance-1-ap-southeast-1a,https://ap-southeast-1.console.aws.amazon.com/rds/home?region=ap-southeast-1#database:id=database-1-instance-1-ap-southeast-1a;is-cluster=false
EC2,i-08ae46cb6a265ee49,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#InstanceDetails:instanceId=i-08ae46cb6a265ee49
EC2,i-0d57883a9df992d47,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#InstanceDetails:instanceId=i-0d57883a9df992d47
EC2,i-0d74605585f993c13,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#InstanceDetails:instanceId=i-0d74605585f993c13
Lambda,test-deletion-function,https://ap-southeast-1.console.aws.amazon.com/lambda/home?region=ap-southeast-1#/functions?fo=and&k0=functionName&o0=%3D&v0=test-deletion-function
Classic ELB,test-deletion-classic-elb,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#LoadBalancers:search=test-deletion-classic-elb;sort=loadBalancerName
ELB V2,elb-test-deletion,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#LoadBalancers:search=elb-test-deletion;sort=loadBalancerName
NAT GW,nat-07ff62cf7257cae85,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#NatGateways:search=nat-07ff62cf7257cae85
VPC Endpoint,vpce-0fca08646d9605546,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#Endpoints:search=vpce-0fca08646d9605546
IGW,igw-0e1e4ec3a84fa0ca7,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#igws:internetGatewayId=igw-0e1e4ec3a84fa0ca7
VPGW,vgw-0a7aedde44e860143,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#VpnGateways:VpnGatewayId=vgw-0a7aedde44e860143
ENI,eni-06b67c89ca3168573,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-06b67c89ca3168573
ENI,eni-0e96b84c4a5a23eac,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0e96b84c4a5a23eac
ENI,eni-01af866f5b70ce2fd,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-01af866f5b70ce2fd
ENI,eni-0dcb0a9fa9a6714bd,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0dcb0a9fa9a6714bd
ENI,eni-0203fe663df71c369,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0203fe663df71c369
ENI,eni-0bd614bee6ef7bad2,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0bd614bee6ef7bad2
ENI,eni-04dd04c2fa3443d83,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-04dd04c2fa3443d83
ENI,eni-047aed9b31d579c6b,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-047aed9b31d579c6b
ENI,eni-0253d351a274f180f,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0253d351a274f180f
ENI,eni-0e571eea38245e6d2,https://ap-southeast-1.console.aws.amazon.com/ec2/home?region=ap-southeast-1#NIC:v=3;networkInterfaceId=eni-0e571eea38245e6d2
Route Table,rtb-064765163d453ea5d,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#RouteTables:routeTableId=rtb-064765163d453ea5d
Route Table,rtb-03c23e1b47a93bce2,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#RouteTables:routeTableId=rtb-03c23e1b47a93bce2
Network ACL,acl-0468f58a6c2cbd657,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#acls:networkAclId=acl-0468f58a6c2cbd657
Network ACL,acl-03d75a37e46a412f0,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#acls:networkAclId=acl-03d75a37e46a412f0
Subnet,subnet-0b6696dac6b1c5142,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#subnets:SubnetId=subnet-0b6696dac6b1c5142
Subnet,subnet-031c3f6ac5c47ea90,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#subnets:SubnetId=subnet-031c3f6ac5c47ea90
Subnet,subnet-00e2e5f4bb3e28f58,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#subnets:SubnetId=subnet-00e2e5f4bb3e28f58
Subnet,subnet-04ff86a2e1d3edc80,https://ap-southeast-1.console.aws.amazon.com/vpc/home?region=ap-southeast-1#subnets:SubnetId=subnet-04ff86a2e1d3edc80
